horizon_h,model,n_rows,rmse,mae,r2,delta_r2
12,elastic_net,8153,10.12520787332879,6.284983186870723,0.9179214752671753,0.40070717782939425
12,boosted_residual,8153,11.400293104475326,7.880630865380681,0.9096334045303298,0.1437327316924977
12,ensemble,8153,9.889709422432333,6.400468773416714,0.9288224666795428,0.4286873081137591
24,persistence,8057,23.2206733212261,15.638112973308505,0.599874797838634,-0.003730582444181174
24,diurnal_naive,8057,32.73095380489965,23.3760086902545,0.2336766572173295,-0.9990347633455543
24,damped_reversion,8057,23.091701230622984,15.21527548185481,0.6008109183913138,0.012399557287075008
24,hist_gbr,8057,22.22122305916626,16.447033032406928,0.6390293319650902,0.017060588312171887
24,ridge,8057,20.93146450460371,14.139025803496454,0.6787377638871599,0.14773378504090778
24,elastic_net,8057,21.00578328135618,13.972988955643693,0.6662144453440997,0.1573217615437506
24,boosted_residual,8057,22.558207936621233,16.95946735601609,0.6189313004056677,-0.058853899373775886
24,ensemble,8057,19.87835107447125,13.872534129361643,0.7178828655401471,0.24871366980633822
36,persistence,7949,29.37101618025944,20.49858401510384,0.3792520060317404,-0.00535884051339125
36,diurnal_naive,7949,35.560273497042886,25.59612964128383,0.1167486422165015,-0.4672035204738499
36,damped_reversion,7949,29.583428989045625,20.453719912622766,0.36933275389110976,-0.013488397631824689
36,hist_gbr,7949,27.815826761301665,21.241224508330216,0.4822684548260461,0.059795414762930044
36,ridge,7949,28.19372956410836,19.773895081867522,0.42282088114934824,0.04616624810544298
36,elastic_net,7949,27.944943489838888,19.356701806498172,0.43241005708843894,0.07205712753421589
36,boosted_residual,7949,28.37391905530321,21.687737393803566,0.439623221684039,-0.002978533773537434
36,ensemble,7949,26.41098337807538,19.33577697283106,0.5157358968790281,0.1583321682694905
48,persistence,7911,33.41517249572417,23.893805309734514,0.21343208876730244,-0.008541391164973211
48,diurnal_naive,7911,37.48344468552232,27.52402022756005,0.025166872279677482,-0.26938085305578807
48,damped_reversion,7911,33.60010428714963,24.053137628612358,0.20811210281339476,-0.015446269763616183
48,hist_gbr,7911,32.29626608681673,24.85189888073035,0.2894781490253392,0.030794587524521327
48,ridge,7911,31.019791784235046,22.42493430444289,0.32333420312653016,0.11014658905830807
48,elastic_net,7911,31.173410491046482,22.343892213351296,0.30972293706945275,0.10032075760733702
48,boosted_residual,7911,31.56222595271811,24.605570243818896,0.3137250652663489,0.022730154020656673
48,ensemble,7911,30.290485810299717,22.810228229025718,0.3643740804618428,0.13330084307891085
60,persistence,7891,36.09720616215285,26.146070975918885,0.10135435790943617,-0.01157028584398695
60,diurnal_naive,7891,38.877496753527055,28.90272496831432,-0.04379316176393719,-0.1988120291527667
60,damped_reversion,7891,36.22266815500198,26.434750602881167,0.1001649110833992,-0.013849977817095294
60,hist_gbr,7891,37.699559245420254,29.948527263467,0.0338263178827275,-0.13413329790006123
60,ridge,7891,33.788688527532535,24.73877003788667,0.21364646030036355,0.09764463664098344
60,elastic_net,7891,34.0823428479739,24.83348404407085,0.19652095115812496,0.08527719517260604
60,boosted_residual,7891,35.32501981915416,27.678952364142308,0.14381622401417593,-0.05663571248606439
60,ensemble,7891,33.872042685579224,26.16583368801903,0.21820267622080156,0.07512688899861586
72,persistence,7887,37.73059390433956,27.830532656943564,0.014683130437690428,-0.014989314181634072
72,diurnal_naive,7887,39.735612193042165,29.65313887127457,-0.10914723189119024,-0.1788018579423135
72,damped_reversion,7887,37.93053523404416,28.098237969088245,0.007531614603641296,-0.022460049094586765
72,hist_gbr,7887,39.283858801311126,30.856623415006347,-0.07072953950329203,-0.16636470178689702
72,ridge,7887,35.46460880476568,26.25782543359275,0.1307343625361626,0.08739459258901644
72,elastic_net,7887,35.74116906818123,26.383992734511025,0.11851543768001244,0.08301969928293793
72,boosted_residual,7887,40.32319777649289,32.08780917426307,-0.15050897537364538,-0.3135722949698608
72,ensemble,7887,36.16562357140859,27.830696397953922,0.1002090931550895,0.028291073281703494
